Area_lag0	Circularity_lag0	ClassN2_lag0	Correlation_lag0	Energy_lag0	EqDiameter_lag0	Grey1.0_lag0	Grey2.0_lag0	Grey2.1_lag0	Growth1.0_lag0	Growth2.0_lag0	Growth2.1_lag0	Homogeneity_lag0	MeanGreyValue_lag0	Perimeter_lag0	Solidity_lag0	Area_lag+1	Circularity_lag+1	ClassN2_lag+1	Correlation_lag+1	Energy_lag+1	EqDiameter_lag+1	Grey1.0_lag+1	Grey2.0_lag+1	Grey2.1_lag+1	Growth1.0_lag+1	Growth2.0_lag+1	Growth2.1_lag+1	Homogeneity_lag+1	MeanGreyValue_lag+1	Perimeter_lag+1	Solidity_lag+1	Area_lag+2	Circularity_lag+2	ClassN2_lag+2	Correlation_lag+2	Energy_lag+2	EqDiameter_lag+2	Grey1.0_lag+2	Grey2.0_lag+2	Grey2.1_lag+2	Growth1.0_lag+2	Growth2.0_lag+2	Growth2.1_lag+2	Homogeneity_lag+2	MeanGreyValue_lag+2	Perimeter_lag+2	Solidity_lag+2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26127.9546	0.822724359	NA	0.910976289	0.883963058	182.392831601	NA	NA	NA	NA	NA	NA	0.95384266	738.1148136	631.728485766	0.96241926	32966.8152	0.51988899	0	0.886272335	0.852838993	204.8771650816	NA	NA	203.5001186	NA	NA	6838.8606	0.947092346	941.6149322	892.664201522	0.85761681
18693.9484	0.676874383	NA	0.93045049	0.915604927	154.2785608918	NA	NA	NA	NA	NA	NA	0.966056657	381.2438708	589.116806694	0.923601995	8815.5942	0.494727754	NA	0.798824626	0.957615643	105.9450949714	546.6598502	NA	NA	-9878.3542	NA	NA	0.979053613	927.903721	473.203109606	0.810454323	23141.599	0.576932603	1	0.881749967	0.895997576	171.6531356534	NA	690.1003152	143.440465	NA	4447.6506	14326.0048	0.966581664	1071.344186	709.968488048	0.863059849
19002.1488	0.476292672	NA	0.929491917	0.913068953	155.5451294088	NA	NA	NA	NA	NA	NA	0.969224886	312.7691861	708.058824058	0.822636301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19884.2396	0.611876048	NA	0.922889789	0.910111826	159.1144247776	NA	NA	NA	NA	NA	NA	0.96227475	377.6309568	639.039494122	0.866203704	25070.5084	0.499221886	NA	0.869457437	0.886971338	178.6638259308	762.1644892	NA	NA	5186.2688	NA	NA	0.963380476	1139.795446	794.40083914	0.858442504	26685.9036	0.705139845	1	0.869614835	0.881314769	184.3299968858	NA	711.7157652	-50.4487240000001	NA	6801.664	1615.3952	0.959127996	1089.346722	689.61747904	0.930172254
18885.2452	0.755849331	NA	0.934036104	0.915051268	155.0659246982	NA	NA	NA	NA	NA	NA	0.96897071	308.883243	560.336134022	0.945715806	27621.1324	0.870644845	NA	0.934964397	0.877752513	187.5321786994	23.3941849	NA	NA	8735.8872	NA	NA	0.953788069	332.2774279	631.400839792	0.981680831	41373.2468	0.805441186	0	0.936783504	0.81927785	229.517001369	NA	135.5622891	112.1681042	NA	22488.0016	13752.1144	0.943249607	444.4455321	803.42958029	0.964449399
14745.795	0.777186213	NA	0.933278191	0.933225821	137.0216381284	NA	NA	NA	NA	NA	NA	0.972439678	145.6904644	488.288486744	0.946775844	24432.8524	0.86866795	NA	0.938949524	0.891607981	176.377078621	249.922051	NA	NA	9687.0574	NA	NA	0.965997476	395.6125154	594.518151386	0.977050574	35363.339	0.876569242	0	0.934822391	0.845031641	212.19331198	NA	333.4540305	83.5319795	NA	20617.544	10930.4866	0.95058526	479.1444949	712.013864534	0.982868114
15994.538	0.726031758	NA	0.940403893	0.927612656	142.7055649994	NA	NA	NA	NA	NA	NA	0.973371163	236.1449843	526.15411731	0.931311881	23742.0584	0.828976626	NA	0.925506918	0.894463688	173.8658322588	148.1580542	NA	NA	7747.5204	NA	NA	0.964801896	384.3030385	599.91949347	0.965427831	34236.8134	0.815874915	0	0.926862925	0.849500181	208.7861698262	NA	232.9777111	84.8196569	NA	18242.2754	10494.755	0.94787204	469.1226954	726.17251919	0.959493671
14740.4812	0.809772246	NA	0.939282141	0.933303936	136.9969473122	NA	NA	NA	NA	NA	NA	0.981232783	287.669844	478.276804412	0.956551724	18221.0202	0.826068168	NA	0.922863085	0.918141837	152.3145543318	306.3413953	NA	NA	3480.539	NA	NA	0.972233276	594.0112393	526.481764262	0.963743676	24438.1662	0.641325057	0	0.907800667	0.890384105	176.396257364	NA	316.0706645	9.72926919999998	NA	9697.685	6217.146	0.956959113	603.7405085	691.990503782	0.904069196
15436.589	0.730004491	NA	0.922749049	0.929827667	140.1944205448	NA	NA	NA	NA	NA	NA	0.97332643	366.3301479	515.487141726	0.93348329	17062.6118	0.701076885	NA	0.855042445	0.922689523	147.393324412	737.4717461	NA	NA	1626.0228	NA	NA	0.974390808	1103.801894	553.02512534	0.917428571	18141.3132	0.710629412	1	0.874954421	0.918253331	151.9810427702	NA	579.7931546	-157.6785915	NA	2704.7242	1078.7014	0.976349793	946.1233025	566.39277327	0.925454053
14671.4018	0.868927804	NA	0.927565589	0.933709202	136.6755608968	NA	NA	NA	NA	NA	NA	0.975839198	316.9419176	460.62646938	0.976308345	18274.1582	0.750857492	NA	0.873594959	0.917796176	152.5364902744	523.115154	NA	NA	3602.7564	NA	NA	0.971815531	840.0570716	553.02512534	0.942966822	19081.8558	0.674085051	1	0.854095827	0.914096732	155.8710152436	NA	785.1199954	262.0048414	NA	4410.454	807.6976	0.97230864	1102.061913	596.427814724	0.910496957
