Experiment ID,ts,drug concentration (uM),spheroIndex,Area (um2),Perimeter (um),Solidity,Equivalent Diameter (um),Circularity,Mean grey value,Homogeneity,Energy,Correlation,UniqueIdentifier,2 classes encoded,Growth1-0,Growth2-1,Growth2-0,Grey1-0,Grey2-1,Grey2-0
1803,0,1.0,8,16281.4832,534.256134022,0.931873479,143.9799578424,0.716811221,294.1559429,0.973390512,0.926249032,0.926299808,"(1803, 8, 1.0)",,,,,,,
1803,0,1.0,10,15994.538,526.1541173100001,0.931311881,142.7055649994,0.726031758,236.1449843,0.973371163,0.927612656,0.940403893,"(1803, 10, 1.0)",,,,,,,
1803,0,1.0,11,15234.664599999998,470.96579703399993,0.977164281,139.2744679418,0.863105779,330.0873994,0.974607174,0.931220911,0.924055824,"(1803, 11, 1.0)",,,,,,,
1803,0,1.0,13,14655.460399999998,480.514117962,0.953335638,136.6012874366,0.797621819,282.5826789,0.974548519,0.933541668,0.927946214,"(1803, 13, 1.0)",,,,,,,
1803,0,1.0,15,14086.8838,455.22512534,0.967518248,133.92526841679998,0.854225139,333.3441187,0.974461132,0.936144122,0.929239265,"(1803, 15, 1.0)",,,,,,,
1803,0,1.0,17,13608.6418,501.983781952,0.914969632,131.6322942462,0.678649096,396.9370396,0.975214815,0.93773856,0.922615809,"(1803, 17, 1.0)",,,,,,,
1803,0,1.0,19,13709.604,458.253445616,0.961610138,132.1196804158,0.82039555,331.2956396,0.978509581,0.937684067,0.931416358,"(1803, 19, 1.0)",,,,,,,
1803,0,1.0,20,11419.356199999998,418.342435956,0.962382445,120.5801637454,0.819950514,248.4605381,0.979189735,0.947683172,0.924060557,"(1803, 20, 1.0)",,,,,,,
1803,0,2.0,5,25469.0434,829.3738638819999,0.819596443,180.0782974856,0.465287952,244.4337572,0.952721302,0.884433146,0.928840476,"(1803, 5, 2.0)",,,,,,,
1803,0,2.0,7,16626.8802,631.7284870699999,0.839549235,145.4991456176,0.523551863,315.335589,0.966545888,0.923623764,0.914861331,"(1803, 7, 2.0)",,,,,,,
1803,0,2.0,8,18869.3038,604.52983111,0.891315261,155.0004638004,0.648829023,293.659176,0.964986806,0.914176754,0.919389302,"(1803, 8, 2.0)",,,,,,,
1803,0,2.0,10,14740.481199999998,478.27680441199993,0.956551724,136.99694731219998,0.809772246,287.669844,0.981232783,0.933303936,0.939282141,"(1803, 10, 2.0)",,,,,,,
1803,0,2.0,11,15872.3206,477.485798338,0.973281199,142.1592988614,0.874841493,314.0864525,0.97331093,0.928528654,0.930872342,"(1803, 11, 2.0)",,,,,,,
1803,0,2.0,12,15139.016199999998,519.961764262,0.929223744,138.8365733318,0.703662975,451.9565465,0.97533814,0.931052324,0.925195378,"(1803, 12, 2.0)",,,,,,,
1803,0,2.0,13,14979.6022,463.32714465999993,0.97712305,138.1036635548,0.876868875,577.4564076,0.982942608,0.932477357,0.914560215,"(1803, 13, 2.0)",,,,,,,
1803,0,2.0,14,15675.71,518.515461676,0.924185464,141.27609092459997,0.732678861,344.5010228,0.97264484,0.929053417,0.924410925,"(1803, 14, 2.0)",,,,,,,
1803,0,2.0,17,15734.161799999998,664.328487722,0.79575383,141.5392419388,0.448010016,272.2946838,0.97112644,0.927009536,0.90784213,"(1803, 17, 2.0)",,,,,,,
1803,0,2.0,18,12955.0444,471.29344529,0.923484848,128.4323745466,0.732935859,361.7041883,0.977551713,0.940750605,0.924784833,"(1803, 18, 2.0)",,,,,,,
