x	y	type	ai	raw_contributions	contributions	info	info_cond	cplx	Nxy_ai	info_shifted	infOrt	trueOrt	isOrtOk	sign	partial_correlation	is_causal	proba	confidence
Growth2.0_lag+2	Growth2.1_lag+2	P	Energy_lag+2	0.916360	0.916360	114.701345	14.275812	7.809181	428	6.466631	-2	NA	NA	+	0.196183935797945	N	1;0.5	NA
Energy_lag0	MeanGreyValue_lag0	P	NA	NA	NA	21.038094	21.038094	15.587458	480	5.450636	2	NA	NA	-	-0.160657272818024	N	0.5;0.999732479212801	NA
Area_lag0	Correlation_lag0	P	NA	NA	NA	15.578699	15.578699	10.366133	480	5.212566	6	NA	NA	+	0.201360315613839	N	0.99999989000251;0.999992645789529	NA
Correlation_lag0	EqDiameter_lag0	P	NA	NA	NA	15.578699	15.578699	10.366133	480	5.212566	6	NA	NA	+	0.201360315613839	N	0.999992645789529;0.99999989000251	NA
Growth2.0_lag+2	Homogeneity_lag+2	P	Energy_lag+2	0.958504	0.958504	152.572072	10.727263	6.597498	448	4.129765	-2	NA	NA	-	-0.181616653480584	N	0.999994963990656;0.5	NA
Area_lag0	Homogeneity_lag0	N	Energy_lag0	1.000000	1.000000	239.862829	0	0	480	0	0	NA	NA		0	NA	-1;-1	NA
EqDiameter_lag0	Homogeneity_lag0	N	Energy_lag0	1.000000	1.000000	239.862829	0	0	480	0	0	NA	NA		0	NA	-1;-1	NA
Homogeneity_lag0	Perimeter_lag0	N	Energy_lag0	1.000000	1.000000	165.058297	0	0	480	0	0	NA	NA		0	NA	-1;-1	NA
Growth2.0_lag+2	Perimeter_lag+2	N	Energy_lag+2	1.000000	1.000000	156.714926	0	0	448	0	0	NA	NA		0	NA	-1;-1	NA
EqDiameter_lag+1	Perimeter_lag+2	N	EqDiameter_lag+2	1.000000	1.000000	99.642125	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag+1	Perimeter_lag+2	N	EqDiameter_lag+2	1.000000	1.000000	99.642125	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag+1	Perimeter_lag+2	N	EqDiameter_lag+2	1.000000	1.000000	101.689088	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag+2	Perimeter_lag+1	N	Energy_lag+1	1.000000	1.000000	95.854559	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
EqDiameter_lag+2	Perimeter_lag+1	N	Energy_lag+1	1.000000	1.000000	95.854559	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Correlation_lag+1	MeanGreyValue_lag+2	N	MeanGreyValue_lag+1	1.000000	1.000000	99.281436	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
