,spheroid ID,Experiment ID,drug concentration (uM),spheroIndex,Area (um2)_day0,Area (um2)_day1,Area (um2)_day2,Mean grey value_day0,Mean grey value_day1,Mean grey value_day2,Homogeneity_day0,Homogeneity_day1,Homogeneity_day2,Energy_day0,Energy_day1,Energy_day2,Correlation_day0,Correlation_day1,Correlation_day2,Solidity_day0,Solidity_day1,Solidity_day2,Circularity_day0,Circularity_day1,Circularity_day2,Equivalent Diameter (um)_day0,Equivalent Diameter (um)_day1,Equivalent Diameter (um)_day2,Perimeter (um)_day0,Perimeter (um)_day1,Perimeter (um)_day2,Growth1-0,Growth2-0,Growth2-1,Grey1-0,Grey2-0,Grey2-1,DCorrelation_1-0,DCorrelation_2-0,DCorrelation_2-1,viability score,2 classes,2 classes encoded,3 classes,3 classes encoded
0,"(1803, 2, 0.1)",1803,0.1,2,21010.765199999998,,40799.3564,273.5630698,,363.2156197,0.964093322,,0.938153564,0.904425636,,0.821756584,0.92669768,,0.941608184,0.813915191,,0.983854434,0.451746749,,0.878721619,163.5595827816,,227.91962171139997,764.5015124639999,,763.846217582,,19788.5912,,,89.6525499,,,0.014910504000000047,,78.73893462,alive,0,alive,0
1,"(1803, 3, 0.1)",1803,0.1,3,18284.785799999998,30485.270599999996,41872.744,446.8118929,477.6700478,357.4250425,0.967778901,0.951353234,0.94556808,0.917895081,0.864893942,0.817673833,0.921406321,0.930250699,0.948561751,0.9590301,0.93375651,0.983401972,0.810794856,0.688864421,0.865789337,152.5808387276,197.01535997,230.8983185608,532.3464693799999,745.7325195159999,779.5868889499999,12200.484799999998,23587.9582,11387.473400000003,30.858154900000045,-89.38685039999996,-120.2450053,0.008844378000000042,0.02715542999999998,0.01831105199999994,81.44121758,alive,0,alive,0
2,"(1803, 4, 0.1)",1803,0.1,4,15930.772399999998,27041.9282,,233.4738572,386.1758992,,0.973562646,0.962764152,,0.927941046,0.879799033,,0.933598402,0.941432458,,0.95691031,0.926451848,,0.816577587,0.661100585,,142.42081798479998,185.5555236328,,495.13613337,716.9518488,,11111.1558,,,152.702042,,,0.007834055999999978,,,103.1526635,alive,0,alive,0
3,"(1803, 5, 0.1)",1803,0.1,5,18412.317,27653.015199999998,42882.365999999995,316.9931793,370.7566071,350.0271962,0.964029529,0.958326368,0.943291652,0.915303889,0.877629208,0.812626959,0.911115604,0.939339933,0.93957259,0.838983051,0.971802054,0.949076796,0.431543192,0.836731747,0.754254629,153.11201820499997,187.64038073999998,233.66541070099998,732.2291581119999,644.44083914,845.250252962,9240.698199999999,24470.048999999995,15229.350799999997,53.76342779999999,33.03401689999998,-20.729410900000005,0.028224328999999937,0.028456986000000017,0.0002326570000000805,76.81316975,alive,0,alive,0
4,"(1803, 6, 0.1)",1803,0.1,6,15771.3584,26930.338399999997,41112.870599999995,311.382544,334.8418643,466.5375523,0.972122096,0.957489034,0.931357045,0.928812212,0.88092599,0.819937396,0.93155843,0.93746474,0.92907156,0.959276018,0.979891725,0.960282984,0.81729779,0.869788356,0.786901547,141.706447241,185.1722760116,228.79364642379997,492.43546167599993,623.762185136,810.2772269159999,11158.979999999998,25341.512199999997,14182.532199999998,23.4593203,155.15500830000002,131.69568800000002,0.00590630999999997,-0.00248687000000003,-0.00839318,73.89346172,alive,0,middle,2
5,"(1803, 7, 0.1)",1803,0.1,7,16924.452999999998,27211.9698,40873.749599999996,180.0381444,375.0729635,437.0023949,0.966535259,0.952390945,0.934251645,0.923350379,0.879396508,0.821162553,0.930178587,0.936875593,0.929009174,0.934840035,0.969152157,0.97725829,0.746033483,0.846590492,0.847564099,146.79537742879998,186.13800266579997,228.12732045159999,533.92848707,635.5478130939999,778.46823462,10287.516800000001,23949.296599999998,13661.779799999997,195.03481910000002,256.96425050000005,61.9294314,0.006697006000000005,-0.0011694129999999525,-0.007866418999999958,76.06771238,alive,0,alive,0
6,"(1803, 8, 0.1)",1803,0.1,8,15606.630599999999,23715.4894,37249.738,365.6579471,382.7798448,277.2899364,0.974036469,0.962403147,0.937892226,0.926920274,0.89462011,0.836244596,0.907122796,0.93150688,0.932146169,0.725185185,0.981094746,0.943345445,0.359542896,0.879011142,0.748050377,140.96446090679999,173.7685210958,217.7793366174,738.5572256119999,582.269159416,791.0448732159999,8108.8588,21643.1074,13534.248599999999,17.121897699999977,-88.36801070000001,-105.48990839999999,0.024384084000000028,0.025023373000000015,0.0006392889999999873,72.12300047,alive,0,middle,2
7,"(1803, 9, 0.1)",1803,0.1,9,14453.535999999998,,33785.1404,356.8352438,,386.3618288,0.975710925,,0.942920338,0.934422547,,0.85079747,0.919493474,,0.933550205,0.958759253,,0.944444444,0.816107981,,0.725525375,135.65697031079998,,207.4043798366,471.756805064,,764.9648728899999,,19331.604399999997,,,29.52658500000001,,,0.014056730999999933,,82.99425377,alive,0,alive,0
8,"(1803, 10, 0.1)",1803,0.1,10,14745.794999999998,24432.8524,35363.339,145.6904644,395.6125154,479.1444949,0.972439678,0.965997476,0.95058526,0.933225821,0.891607981,0.845031641,0.933278191,0.938949524,0.934822391,0.946775844,0.977050574,0.982868114,0.777186213,0.86866795,0.876569242,137.02163812839999,176.37707862099998,212.19331197999998,488.288486744,594.518151386,712.0138645339999,9687.057400000002,20617.544,10930.4866,249.922051,333.4540305,83.53197949999998,0.005671333000000001,0.0015441999999999956,-0.004127133000000005,76.47150179,alive,0,alive,0
9,"(1803, 11, 0.1)",1803,0.1,11,13247.303399999999,23109.7162,34762.8796,396.6531234,452.4248103,444.743381,0.979983201,0.959786579,0.945352307,0.939858758,0.896343655,0.845772429,0.927089624,0.922733739,0.9228927,0.971551052,0.894303928,0.906219698,0.861886969,0.629982152,0.575999426,129.8729785222,171.5348493244,210.3841082152,439.484452994,678.950504434,870.866889602,9862.4128,21515.576200000003,11653.163400000001,55.77168689999996,48.09025759999997,-7.681429299999991,-0.004355884999999948,-0.004196923999999935,0.000158961000000013,67.99192421,alive,0,middle,2
