,spheroid ID,Experiment ID,drug concentration (uM),spheroIndex,Area (um2)_day0,Area (um2)_day1,Area (um2)_day2,Mean grey value_day0,Mean grey value_day1,Mean grey value_day2,Homogeneity_day0,Homogeneity_day1,Homogeneity_day2,Energy_day0,Energy_day1,Energy_day2,Correlation_day0,Correlation_day1,Correlation_day2,Solidity_day0,Solidity_day1,Solidity_day2,Circularity_day0,Circularity_day1,Circularity_day2,Equivalent Diameter (um)_day0,Equivalent Diameter (um)_day1,Equivalent Diameter (um)_day2,Perimeter (um)_day0,Perimeter (um)_day1,Perimeter (um)_day2,Growth1-0,Growth2-0,Growth2-1,Grey1-0,Grey2-0,Grey2-1,DCorrelation_1-0,DCorrelation_2-0,DCorrelation_2-1,viability score,2 classes,2 classes encoded,3 classes,3 classes encoded
0,"(1305_A, 3, 0.0)",1305,0.0,3,18263.5306,22317.96,,452.4626991,743.9345807,,0.964388058,0.962896423,,0.917504004,0.899932952,,0.928949375,0.91978575,,0.940098468,0.921254661,,0.75780415,0.72448939,,152.4921289442,168.57078403959997,,550.324452994,622.180169076,,4054.429400000001,,,291.47188159999996,,,-0.009163625000000009,,,110.0426973,alive,0,alive,0
1,"(1305_A, 4, 0.0)",1305,0.0,4,18901.186599999997,23380.719999999998,34497.1896,692.8479307,723.6345313,736.379985,0.961578645,0.950023573,0.925769881,0.914105642,0.894444715,0.840489973,0.896839337,0.903097172,0.881818008,0.880227666,0.878769722,0.695745365,0.590972507,0.573599509,0.216511675,155.1313579512,172.5376981528,209.5785914248,633.965797686,715.6974787139999,1414.998990852,4479.5334,15596.003,11116.4696,30.786600600000043,43.53205430000003,12.745453699999985,0.006257834999999989,-0.015021328999999972,-0.02127916399999996,107.1844455,alive,0,alive,0
2,"(1305_A, 5, 0.0)",1305,0.0,5,24284.066,20654.740599999997,32849.9116,603.9399816,482.0425869,609.3142132,0.948965014,0.967336687,0.933714571,0.889627545,0.907216958,0.85332697,0.91352857,0.923108273,0.922069006,0.820908928,0.929015296,0.859924885,0.452075468,0.730783772,0.525696723,175.83922523899997,162.1679145682,204.5135851056,821.5994957519999,595.9644536459999,886.144201196,-3629.3254000000015,8565.8456,12195.171000000002,-121.8973947,5.37423160000003,127.27162630000004,0.009579702999999995,0.008540435999999985,-0.0010392670000000104,84.84773634,alive,0,alive,0
3,"(1305_A, 7, 0.0)",1305,0.0,7,14480.105,23189.423199999997,22631.474199999997,541.4609817,479.448646,484.8239664,0.970696931,0.944079745,0.953090834,0.934296868,0.894364635,0.898163032,0.912357235,0.909143909,0.925230804,0.952464173,0.823551614,0.915126773,0.794379641,0.45864065,0.647482242,135.7815977962,171.8304124322,169.7506639406,478.604452994,797.101512138,662.746470358,8709.318199999998,8151.369199999997,-557.9490000000005,-62.01233570000005,-56.63701530000003,5.375320400000021,-0.0032133260000000163,0.012873569000000029,0.016086895000000045,81.03673383,alive,0,alive,0
4,"(1305_A, 8, 0.0)",1305,0.0,8,14395.0842,23518.8788,18784.283,651.2154842,755.7640293,723.9745965,0.971015094,0.951285411,0.958900242,0.933683273,0.894013449,0.915300779,0.91827159,0.915434314,0.893354375,0.88097561,0.859083851,0.943673251,0.581049462,0.592148539,0.770526009,135.38238605279997,173.0467177802,154.65087111519998,557.963108628,706.476805716,553.488487396,9123.7946,4389.1988,-4734.595799999999,104.54854509999996,72.75911229999997,-31.789432799999986,-0.002837276000000055,-0.024917214999999993,-0.022079938999999937,89.18804474,alive,0,alive,0
5,"(1305_A, 9, 0.0)",1305,0.0,9,15340.940599999998,24730.425199999998,22466.7464,633.6550097,589.7354799,795.0069491,0.964143031,0.943113673,0.952644145,0.929749442,0.88781865,0.898542029,0.903491381,0.91094084,0.902993131,0.868531889,0.884622695,0.871572872,0.61573185,0.537729929,0.578091835,139.75940836159998,177.4478946678,169.1317532666,559.545125666,760.218824058,698.8381507339999,9389.4846,7125.805800000002,-2263.678799999998,-43.91952980000008,161.3519394,205.27146920000007,0.007449458999999936,-0.0004982500000000334,-0.00794770899999997,92.7343943,alive,0,alive,0
6,"(1305_A, 10, 0.0)",1305,0.0,10,17253.9086,27004.7316,21876.9146,453.7275369,694.5258006,612.1597125,0.963156272,0.945774356,0.958029441,0.921412372,0.876880031,0.901984069,0.913272053,0.91829422,0.922597784,0.869344043,0.736842105,0.916926503,0.626414168,0.347024889,0.714551737,148.2172686784,185.42786242399998,166.8968327522,588.3257983379999,988.882184158,620.270502152,9750.823,4623.006000000001,-5127.816999999999,240.7982637,158.43217559999994,-82.36608810000007,0.005022167000000022,0.009325731000000004,0.004303563999999982,87.54719644,alive,0,alive,0
7,"(1305_A, 11, 0.0)",1305,0.0,11,17604.6194,19995.8294,24873.8978,661.23595,701.2364622,696.2823194,0.96215212,0.960865363,0.949240837,0.920041871,0.909805325,0.888163573,0.901512575,0.910450394,0.902564086,0.901006255,0.915794597,0.877248876,0.674770955,0.685027515,0.610790773,149.71605654719997,159.56027300519997,177.9618788188,572.585125666,605.64848544,715.36983111,2391.209999999999,7269.278399999999,4878.0684,40.0005122,35.0463694,-4.9541428,0.008937819000000014,0.001051511000000005,-0.007886308000000009,86.80616818,alive,0,alive,0
8,"(1305_A, 12, 0.0)",1305,0.0,12,15452.5304,21276.4552,21722.8144,511.4660866,593.82355,678.7859211,0.966881369,0.950973564,0.960135367,0.928296951,0.900825037,0.902255594,0.907170097,0.892018395,0.914332058,0.794969929,0.680836592,0.889469104,0.464336791,0.289771545,0.637602197,140.26679140379997,164.5904739996,166.3079863198,646.678150082,960.5648719120001,654.3168063679999,5823.924800000001,6270.284,446.35919999999896,82.35746339999997,167.3198345,84.96237110000004,-0.015151701999999934,0.0071619609999999945,0.022313662999999928,91.83457426,alive,0,alive,0
9,"(1305_A, 14, 0.0)",1305,0.0,14,21388.045,19602.6082,24209.672799999997,465.8537131,543.4184463,457.1144121,0.946074569,0.96928807,0.957645261,0.901241986,0.911902932,0.890225923,0.905293425,0.943557529,0.922979999,0.745646536,0.915611814,0.860596902,0.30903895,0.653534346,0.507333284,165.0215279234,157.9835938912,175.5696806802,932.575210204,613.942436608,774.37747904,-1785.4367999999995,2821.6277999999984,4607.064599999998,77.56473320000003,-8.739301000000012,-86.30403420000005,0.03826410400000002,0.017686574000000066,-0.020577529999999955,101.7855252,alive,0,alive,0
