Experiment ID,spheroid ID,day,drug concentration (uM),spheroIndex,multiple,Area (pix2),Perimeter (pix),Solidity,Equivalent Diameter (pix),Circularity,Mean grey value,Homogeneity,Energy,Correlation,viability score
1305,"(1305_A, 6, 2.0)",0,2.0,6,False,1941.0,228.0243849,0.823679185,49.71275446,0.469107972,461.5924102,0.967771116,0.905749004,0.917044959,39.45975511
1305,"(1305_A, 7, 2.0)",0,2.0,7,False,1365.5,153.2964628,0.930811179,41.69662574,0.730192387,589.0722612,0.9740854,0.931559339,0.906097286,39.90966513
1305,"(1305_A, 8, 2.0)",0,2.0,8,False,1391.5,164.4680364,0.895719343,42.09171922,0.646442736,649.4015641,0.972281187,0.932619619,0.900938143,46.18194008
1305,"(1305_A, 9, 2.0)",0,2.0,9,False,1451.5,158.4680359,0.917799557,42.98961734,0.726346007,601.2495955,0.971699278,0.92984057,0.893963448,52.50714563
1305,"(1305_A, 10, 2.0)",0,2.0,10,False,1499.5,165.296463,0.908512572,43.69465296,0.68965075,617.1825836,0.974000911,0.927704863,0.913355722,43.3501535
1305,"(1305_A, 11, 2.0)",0,2.0,11,False,1519.5,191.9238799,0.836959515,43.98508256,0.518385135,560.8103722,0.973097045,0.925798048,0.911426178,39.22156745
1305,"(1305_A, 12, 2.0)",0,2.0,12,False,1543.0,165.0538229,0.924505692,44.32390571,0.711745311,541.9038388,0.969439606,0.92548924,0.913724979,43.40308409
1305,"(1305_A, 13, 2.0)",0,2.0,13,False,1298.0,146.5685415,0.946409041,40.6529818,0.759281859,620.7589053,0.975974269,0.937361896,0.919098692,41.86809697
1305,"(1305_A, 16, 2.0)",0,2.0,16,False,1133.0,174.2253957,0.777091907,37.98131651,0.469047532,627.8504821,0.974912013,0.943622651,0.90124185,52.03077032
1305,"(1305_A, 18, 2.0)",0,2.0,18,False,1110.5,163.6396091,0.849330784,37.602294,0.521136582,584.9985518,0.974341315,0.944811307,0.899087444,45.17625887
1305,"(1305_A, 19, 2.0)",0,2.0,19,False,1103.0,145.3969685,0.90372798,37.47510131,0.655653937,660.4877639,0.976522397,0.94584868,0.889037837,38.9569145
1305,"(1305_A, 2, 5.0)",0,5.0,2,False,1697.5,172.9533175,0.917319643,46.49004331,0.713118746,488.5381155,0.958671262,0.918321118,0.91068869,35.93987085
1305,"(1305_A, 4, 5.0)",0,5.0,4,False,2205.5,291.2375882,0.738119143,52.99179008,0.326754874,396.8002409,0.944854526,0.891423074,0.906164643,29.0853594
1305,"(1305_A, 11, 5.0)",0,5.0,11,False,1366.0,160.5685413,0.919246299,41.70425899,0.665793636,526.5936613,0.968415081,0.933602245,0.915058808,18.31398426
1305,"(1305_A, 12, 5.0)",0,5.0,12,False,1281.5,160.8111819,0.905014124,40.39376779,0.622724549,544.1193641,0.970533603,0.937353075,0.900665848,19.88866932
1305,"(1305_A, 13, 5.0)",0,5.0,13,False,1782.5,184.1248906,0.912932138,47.63978892,0.660715354,495.4903111,0.964463901,0.914133983,0.921597822,18.9359187
1305,"(1305_A, 14, 5.0)",0,5.0,14,False,1212.0,153.8822494,0.880813953,39.28315578,0.643184296,540.2651593,0.978292112,0.940621602,0.917137587,26.99460108
1305,"(1305_A, 15, 5.0)",0,5.0,15,False,1409.5,199.4385985,0.788972852,42.36308698,0.445303919,590.3841938,0.970690491,0.930513589,0.900522923,32.28766012
1305,"(1305_A, 17, 5.0)",0,5.0,17,False,1389.5,206.9533172,0.762623491,42.06145917,0.407683966,505.8700233,0.959644182,0.920893178,0.888435761,30.88499947
1305,"(1305_A, 18, 5.0)",0,5.0,18,False,935.0,131.254833,0.921182266,34.50331831,0.682010196,626.9179621,0.978235089,0.953818404,0.898706822,21.86033382
1305,"(1305_A, 2, 10.0)",0,10.0,2,False,1564.0,167.0538223,0.911421911,44.62450726,0.704261227,777.4707957,0.96907183,0.924710057,0.894678277,11.59179929
1305,"(1305_A, 3, 10.0)",0,10.0,3,False,1650.0,177.5391036,0.90884054,45.83497844,0.657818014,608.6067315,0.968599985,0.920318016,0.92137459,10.83753837
1305,"(1305_A, 4, 10.0)",0,10.0,4,False,1789.0,196.2253956,0.856390618,47.72657064,0.583861419,650.7986399,0.962110655,0.913473827,0.916390831,12.39899079
