Experiment ID,spheroid ID,day,drug concentration (uM),spheroIndex,multiple,Area (pix2),Perimeter (pix),Solidity,Equivalent Diameter (pix),Circularity,Mean grey value,Homogeneity,Energy,Correlation,viability score
1803,"(1803, 10, 1.0)",0,1.0,10,False,1505.0,161.3969685,0.931311881,43.77471319,0.726031758,236.1449843,0.973371163,0.927612656,0.940403893,76.37831961
1803,"(1803, 11, 1.0)",0,1.0,11,False,1433.5,144.4680359,0.977164281,42.72222943,0.863105779,330.0873994,0.974607174,0.931220911,0.924055824,75.07376922
1803,"(1803, 13, 1.0)",0,1.0,13,False,1379.0,147.3969687,0.953335638,41.90223541,0.797621819,282.5826789,0.974548519,0.933541668,0.927946214,73.36542941
1803,"(1803, 15, 1.0)",0,1.0,15,False,1325.5,139.639609,0.967518248,41.08137068,0.854225139,333.3441187,0.974461132,0.936144122,0.929239265,81.90712844
1803,"(1803, 17, 1.0)",0,1.0,17,False,1280.5,153.9827552,0.914969632,40.37800437,0.678649096,396.9370396,0.975214815,0.93773856,0.922615809,79.54651343
1803,"(1803, 19, 1.0)",0,1.0,19,False,1290.0,140.5685416,0.961610138,40.52750933,0.82039555,331.2956396,0.978509581,0.937684067,0.931416358,78.55257027
1803,"(1803, 20, 1.0)",0,1.0,20,False,1074.5,128.3259006,0.962382445,36.98778029,0.819950514,248.4605381,0.979189735,0.947683172,0.924060557,96.35036496
1803,"(1803, 5, 2.0)",0,2.0,5,False,2396.5,254.4091607,0.819596443,55.23874156,0.465287952,244.4337572,0.952721302,0.884433146,0.928840476,74.57679764
1803,"(1803, 7, 2.0)",0,2.0,7,False,1564.5,193.7817445,0.839549235,44.63163976,0.523551863,315.335589,0.966545888,0.923623764,0.914861331,74.07982606
1803,"(1803, 8, 2.0)",0,2.0,8,False,1775.5,185.4385985,0.891315261,47.54615454,0.648829023,293.659176,0.964986806,0.914176754,0.919389302,58.20779624
1803,"(1803, 10, 2.0)",0,2.0,10,False,1387.0,146.7106762,0.956551724,42.02360347,0.809772246,287.669844,0.981232783,0.933303936,0.939282141,60.63053269
1803,"(1803, 11, 2.0)",0,2.0,11,False,1493.5,146.4680363,0.973281199,43.60714689,0.874841493,314.0864525,0.97331093,0.928528654,0.930872342,67.99192421
1803,"(1803, 12, 2.0)",0,2.0,12,False,1424.5,159.4974737,0.929223744,42.58790593,0.703662975,451.9565465,0.97533814,0.931052324,0.925195378,65.60024849
1803,"(1803, 13, 2.0)",0,2.0,13,False,1409.5,142.124891,0.97712305,42.36308698,0.876868875,577.4564076,0.982942608,0.932477357,0.914560215,64.01615158
1803,"(1803, 14, 2.0)",0,2.0,14,False,1475.0,159.0538226,0.924185464,43.33622421,0.732678861,344.5010228,0.97264484,0.929053417,0.924410925,65.879795
1803,"(1803, 17, 2.0)",0,2.0,17,False,1480.5,203.7817447,0.79575383,43.41694538,0.448010016,272.2946838,0.97112644,0.927009536,0.90784213,73.95558317
1803,"(1803, 18, 2.0)",0,2.0,18,False,1219.0,144.5685415,0.923484848,39.39643391,0.732935859,361.7041883,0.977551713,0.940750605,0.924784833,72.83739711
