day;drug concentration (uM);spheroIndex;Name;Index;Wells;multiple;Area (pix2);Centroid;Perimeter (pix);Solidity;Equivalent Diameter (pix);Circularity;Aspect ratio;Mean grey value;Homogeneity;Energy;Correlation;viability score
0;0;1;1_0405_0;0;405;False;1321,5;(82, 59);143,2964629;0,958303118;41,01933761;0,808734724;0,940146777;686,6096846;0,975923324;0,936308064;0,916440798;108,071483
0;0;3;3_1005_0;0;1005;False;1682,5;(63, 75);228,1248903;0,789906103;46,28418233;0,406274525;0,739697694;742,4906772;0,965127838;0,917190274;0,899876495;141,5431524
0;0;4;4_1305_0;0;1305;False;1556;(71, 75);209,1959583;0,806426535;44,51023176;0,446799705;0,569431034;822,7044687;0,963943904;0,923554839;0,891659509;115,6602016
0;0;10;10_0204_0;0;204;False;1171,5;(72, 67);158,4680362;0,855734112;38,62123932;0,586231033;0,747998758;580,590934;0,976174755;0,94256231;0,905038804;87,06699416
0;0;11;11_0207_0;0;207;False;1555,5;(75, 77);250,7523071;0,730110303;44,5030798;0,310878011;0,569804844;517,0501278;0,966113269;0,922447343;0,908922245;89,98052003
0;0;12;12_0210_0;0;210;False;1167;(64, 75);202,2253952;0,695263628;38,54699144;0,358599215;0,713501208;575,8333603;0,97292259;0,941153991;0,899205548;71,48301855
0;0;13;13_0213_0;0;213;True;645;(68, 85);132,7695519;0,779456193;28,65727667;0,459803846;0,582591485;442,6244822;0,985883471;0,966742148;0,907840401;93,43609723
0;0;13;13_0213_1;0;213;True;725;(51, 71);108,7695519;0,930083387;30,3825389;0,770075297;0,852830593;561,7825831;0,984058079;0,963843525;0,894643835;93,43609723
0;0;13;13_0213_2;0;213;True;560;(97, 72);127,2548332;0,743691899;26,70232471;0,43455957;0,863966543;468,0920726;0,986270706;0,970580461;0,865920365;93,43609723
0;0;14;14_0216_0;0;216;False;1041,5;(79, 70);168,12489;0,775791434;36,41536744;0,463025716;0,823294721;588,0241252;0,977493501;0,948130798;0,90444387;92,75853307
0;0,1;2;2_0605_0;0;605;False;1713;(74, 75);211,1959578;0,799160252;46,70181303;0,482609674;0,715466406;555,9990077;0,959175889;0,916712329;0,914774293;123,4521894
0;0,1;4;4_1205_0;0;1205;False;1650;(83, 78);388,7939372;0,539744848;45,83497844;0,137168642;0,575704377;655,6796324;0,954325415;0,913694761;0,880797163;79,34276277
0;0,1;6;6_1401_0;0;1401;False;1857;(71, 67);279,3380933;0,696549137;48,6251564;0,299062142;0,718328444;499,9562081;0,955090423;0,907865916;0,914013406;98,17904633
0;0,1;7;7_1101_0;0;1101;False;1310;(72, 59);206,2253954;0,764963504;40,84046772;0,387076557;0,74035843;674,6395799;0,965013182;0,934287252;0,880488475;100,6860337
0;0,1;9;9_0501_0;0;501;False;2297,5;(63, 96);488,8355671;0,592062878;54,08574539;0,120820267;0,460800604;523,2773195;0,933927436;0,881084441;0,887221416;83,95019903
0;0,1;10;10_0202_0;0;202;False;1247;(61, 73);148,5685413;0,917924181;39,84632621;0,709941557;0,862063767;455,8130284;0,971885124;0,939181385;0,90781161;99,53417464
0;0,1;13;13_0211_0;0;211;False;1169,5;(62, 74);145,1543278;0,906940675;38,5882579;0,697509477;0,928287445;573,9711115;0,97386854;0,942937329;0,904326087;100,889303
0;0,1;14;14_0214_0;0;214;False;1100,5;(77, 72);137,9827551;0,925178646;37,4326077;0,726357268;0,783279828;418,9568062;0,975298831;0,946378337;0,921907197;108,5457779
